trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.620760024401534,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-106.65756933958444,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-121.75848282193553,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-128.04148356784435,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-44.52373372004967,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-91.04576374942442,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,1.1445448867125463,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-70.87594682563474,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-55.8645719885619,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-118.63331503439406,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-62.88624076305069,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-54.94329046774249,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-46.674009388102164,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-65.64879033883511,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,3.273541982571606,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,12.295964664933384,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-42.937112114396804,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,19.08600095457941,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,13.261575814316018,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,14.89882550094132,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-58.0865533309389,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 0.049999999999999684}",25,17,3.1258321763849866,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,-29.416142640643375,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 0.049999999999999684}",25,3,32.948143455841574,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.049999999999999684}",25,16,13.959347702288293,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.049999999999999684}",35,22,2.0691040601148836,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,38.02374676760207,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,27.215155305773788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 0.049999999999999684}",30,8,33.07522535801135,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,13.718362614341082,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
