trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.4426950408889634, 'e': 0.99998026085613712}",20,0,-94.9306701044896,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 1.134592657106511, 'e': 0.99992104420381611}",20,0,-52.46432429823051,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.99497286107181704, 'e': 0.99982235238080897}",30,0,-216.52208537093824,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.91023922662683732, 'e': 0.99968418928329994}",20,0,-141.64048094583697,"{0: 10, 1: 4, 2: 1, 3: 4, 4: 1}",0
5,False,"{'a': 0.85152836161241563, 'e': 0.9995065603657316}",20,0,-91.44379080431398,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.80760680360454928, 'e': 0.9992894726405892}",20,0,-52.29303774981295,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.77305891820639983, 'e': 0.99903293467812471}",30,0,-161.51493314385047,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.74490445512215808, 'e': 0.99873695660601747}",25,0,-189.1637726765413,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
9,False,"{'a': 0.72134752044448169, 'e': 0.99840155010897502}",25,9,-55.758531664991004,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.70123156793021657, 'e': 0.99802672842827156}",25,19,9.987356958413274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.68377293400073791, 'e': 0.99761250636122523}",25,0,-173.5200064334182,"{0: 7, 1: 7, 2: 9, 3: 1, 4: 1}",0
12,False,"{'a': 0.66841882051873092, 'e': 0.99715890026061393}",25,0,-102.79956933288275,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.65476634298503722, 'e': 0.99666592803402987}",20,0,-35.344258461831025,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.64251382898329368, 'e': 0.9961336091431725}",25,0,-168.43547664938734,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
15,False,"{'a': 0.63143019054135663, 'e': 0.99556196460308}",25,0,-204.8577753883352,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.62133493455961186, 'e': 0.99495101698130017}",20,9,-66.53826588758676,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.61208469815519007, 'e': 0.99430079039699892}",30,0,-179.68257424035474,"{0: 14, 1: 9, 2: 3, 3: 2, 4: 2}",0
18,False,"{'a': 0.60356392936583769, 'e': 0.9936113105200084}",30,0,-201.59776818922015,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
19,False,"{'a': 0.59567828269687828, 'e': 0.9928826045698137}",30,0,-139.2223016672935,"{0: 22, 1: 1, 2: 2, 3: 3, 4: 2}",0
20,False,"{'a': 0.58834984043640792, 'e': 0.99211470131447788}",20,0,-156.52192139329324,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.58151359084587995, 'e': 0.99130763106950659}",25,0,-352.7896585613132,"{0: 8, 1: 4, 2: 4, 3: 3, 4: 6}",0
22,False,"{'a': 0.57511478972704233, 'e': 0.99046142569665119}",20,0,-129.21646584477793,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.56910695447473247, 'e': 0.98957611860265093}",20,0,-123.93907814785707,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.56345031859559269, 'e': 0.98865174473791406}",20,0,-148.68601546653437,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.55811062655124721, 'e': 0.98768834059513777}",20,8,-94.99478598454964,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
26,False,"{'a': 0.55305818360176184, 'e': 0.98668594420786804}",20,0,-104.37000553939372,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
27,False,"{'a': 0.54826709912258853, 'e': 0.98564459514899805}",20,0,-133.57464192004218,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.54371467840641063, 'e': 0.98456433452920533}",30,0,-160.76341986962737,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
29,False,"{'a': 0.53938092963108464, 'e': 0.98344520499532972}",25,0,-91.77001648568415,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
30,False,"{'a': 0.53524816102544515, 'e': 0.98228725072868872}",20,0,-76.03063377516418,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
31,False,"{'a': 0.53130064931779464, 'e': 0.98109051744333409}",25,0,-175.48704936204345,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
32,False,"{'a': 0.52752436499229438, 'e': 0.97985505238424686}",20,0,-23.631168985104317,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.52390674317214148, 'e': 0.97858090432547207}",20,0,-64.10450038168179,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
34,False,"{'a': 0.5204364914168379, 'e': 0.97726812356819348}",30,0,-155.49793655138322,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
35,False,"{'a': 0.51710342758868311, 'e': 0.97591676193874743}",30,0,-196.65872577896008,"{0: 15, 1: 3, 2: 8, 3: 2, 4: 2}",0
36,False,"{'a': 0.51389834236975074, 'e': 0.97452687278657713}",30,0,-205.19020318149688,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
37,False,"{'a': 0.51081288210872722, 'e': 0.97309851098212652}",25,0,-151.13870429687384,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
38,False,"{'a': 0.507839448529251, 'e': 0.97163173291467397}",20,9,-41.889353576058504,"{0: 6, 1: 2, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.50497111249778903, 'e': 0.9701265964901058}",25,0,-106.85542248837335,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 0}",0
40,False,"{'a': 0.50220153957383595, 'e': 0.96858316112863108}",35,16,-89.22185014955929,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 0}",1
41,False,"{'a': 0.49952492548117106, 'e': 0.96700148776243511}",25,9,-125.51552304154265,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 3}",1
42,False,"{'a': 0.49693593997069613, 'e': 0.96538163883327388}",20,0,-130.0932982652194,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
43,False,"{'a': 0.49442967781161445, 'e': 0.96372367829000971}",30,0,-181.93964328299148,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
44,False,"{'a': 0.49200161586254393, 'e': 0.96202767158608593}",25,0,-166.34497161345135,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
45,False,"{'a': 0.48964757534845837, 'e': 0.96029368567694307}",20,0,-115.76312017110214,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.48736368861147367, 'e': 0.95852178901737584}",20,0,-197.17410871377157,"{0: 6, 1: 4, 2: 6, 3: 2, 4: 2}",0
47,False,"{'a': 0.48514636971995728, 'e': 0.95671205155883055}",30,0,-111.03818255839529,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.48299228841630315, 'e': 0.95486454474664295}",25,0,-176.08585386298296,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
49,False,"{'a': 0.48089834696298783, 'e': 0.95297934151721886}",25,0,2.925503139865564,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.47886165951233817, 'e': 0.95105651629515353}",20,0,-171.47366237867794,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
51,False,"{'a': 0.47687953368031605, 'e': 0.9490961449902946}",20,0,-70.1586836549116,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.47494945405054989, 'e': 0.94709830499474423}",25,0,-176.77254042113373,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
53,False,"{'a': 0.4730690673734228, 'e': 0.94506307517980481}",25,0,-65.23961552394243,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
54,False,"{'a': 0.47123616925754475, 'e': 0.94299053589286452}",20,0,-169.93669915630187,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
55,False,"{'a': 0.46944869217845403, 'e': 0.94088076895422545}",20,0,-35.02963832118187,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.46770469465273223, 'e': 0.93873385765387407}",20,0,-136.61491703252375,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
57,False,"{'a': 0.46600235144560176, 'e': 0.9365498867481924}",20,0,-61.37355200152339,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
58,False,"{'a': 0.46433994469704404, 'e': 0.93432894245661202}",25,3,-101.68720432098851,"{0: 12, 1: 4, 2: 2, 3: 4, 4: 0}",1
59,False,"{'a': 0.46271585586601566, 'e': 0.93207111245821095}",30,0,-266.92388275696453,"{0: 14, 1: 3, 2: 8, 3: 1, 4: 4}",0
60,False,"{'a': 0.46112855840482336, 'e': 0.92977648588825146}",30,11,-135.4243506486397,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 2}",1
61,False,"{'a': 0.45957661108647357, 'e': 0.92744515333466127}",20,0,-138.24819323469094,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
62,False,"{'a': 0.45805865191709294, 'e': 0.92507720683445804}",25,8,-40.012650139256046,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
63,False,"{'a': 0.45657339257355473, 'e': 0.92267273987011489}",30,0,-202.55238369793096,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
64,False,"{'a': 0.45511961331341866, 'e': 0.92023184736587038}",20,5,-9.044759855158677,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
65,False,"{'a': 0.45369615831035753, 'e': 0.91775462568398114}",25,0,-174.7313510977912,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
66,False,"{'a': 0.45230193137353147, 'e': 0.91524117262091753}",25,0,-74.90970421074705,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.45093589201399265, 'e': 0.91269158740350287}",20,0,-46.60445605341346,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.44959705182524479, 'e': 0.91010597068499566}",25,0,-58.9819091582948,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
69,False,"{'a': 0.44828447114863562, 'e': 0.90748442454111689}",20,0,-108.01372089999165,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
70,False,"{'a': 0.44699725599737838, 'e': 0.90482705246601958}",35,0,-123.55113733319085,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
71,False,"{'a': 0.44573455521574695, 'e': 0.90213395936820284}",25,0,-24.001545248453358,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.44449555785241807, 'e': 0.89940525156637108}",25,0,-186.3519329070965,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
73,False,"{'a': 0.44327949072907513, 'e': 0.89664103678523588}",20,0,-142.72588755712582,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
74,False,"{'a': 0.44208561618729159, 'e': 0.89384142415126377}",20,0,-102.43891913744233,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.44091322999839616, 'e': 0.8910065241883679}",30,6,-66.14258306469995,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 1}",1
76,False,"{'a': 0.43976165942251982, 'e': 0.88813644881354459}",20,0,-15.523787143310354,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.43863026140436007, 'e': 0.88523131133245525}",25,17,-11.852874166659028,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.43751842089438592, 'e': 0.88229122643495328}",20,14,-43.40809917007358,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.43642554928527055, 'e': 0.87931631019055623}",20,3,0.7164886973029141,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.43535108295428659, 'e': 0.87630668004386358}",25,0,-146.34432509148405,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
81,False,"{'a': 0.43429448190325176, 'e': 0.87326245480992015}",25,0,-175.78219025151182,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
82,False,"{'a': 0.43325522848837594, 'e': 0.87018375466952569}",20,11,-9.473835575793917,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.43223282623304321, 'e': 0.86707070116449003}",25,4,-39.33246546297819,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
