trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-190.0812189490376,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-109.73691949104885,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-109.97106234438628,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-102.33687748666833,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-194.86485032422667,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-22.704355062368933,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-127.71762899983649,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-119.03653237022618,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,6,-162.68518436796788,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-115.8402399802523,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-205.92528743798653,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-202.75934014753787,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-123.76818659063109,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-138.46945901740824,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-134.99596739324184,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-46.659923056621,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-125.22268478587907,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-169.59930286346304,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-79.3113355477135,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-145.92692506732834,"{0: 10, 1: 1, 2: 13, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-170.43664366812084,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-132.90948094038936,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,-76.67804882359084,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,3,-75.26413091756046,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-115.89051702765016,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-223.48956624394827,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 5}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-25.18834112570113,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-71.65061051829858,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-140.15085469870456,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-111.79802008663737,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
